congress,chamber,icpsr,nominate_dim1,bioname,bioguide_id,party_code,littlesis,party,color,projection-1d,projection-2d_x,projection-2d_y
117,House,29346,-0.479,"RUSH, Bobby L.",R000515,100,13560,Democrat,red,-0.31708717346191406,-0.3459736108779907,-0.25348812341690063
117,House,29717,-0.486,"DAVIS, Danny K.",D000096,100,13229,Democrat,red,-0.8815498352050781,-0.3452299237251282,-0.4932851791381836
117,House,29911,-0.603,"SCHAKOWSKY, Janice D.",S001145,100,13572,Democrat,red,0.3275033235549927,0.3121650218963623,0.12534677982330322
117,House,20757,-0.428,"CARSON, André",C001072,100,13170,Democrat,red,-0.8099903464317322,-0.45290982723236084,-0.6675454378128052
117,House,21132,0.408,"BUCSHON, Larry",B001275,200,91562,Republican,blue,0.6214178800582886,-0.16437411308288574,-0.30118948221206665
117,House,21330,0.436,"WALORSKI, Jackie",W000813,200,96546,Republican,blue,-0.42003053426742554,-0.284071147441864,-0.4047854542732239
117,House,21702,0.648,"BANKS, James E.",B001299,200,284891,Republican,blue,-0.6222556829452515,0.16164469718933105,-0.7335420250892639
117,House,21725,0.417,"HOLLINGSWORTH, Joseph Albert III",H001074,200,284892,Republican,blue,-0.6230666637420654,0.12510335445404053,-0.49606359004974365
117,House,21903,0.477,"BAIRD, James",B001307,200,337048,Republican,blue,-0.5263744592666626,-0.09368419647216797,-0.4622689485549927
117,House,21952,0.541,"PENCE, Gregory",P000615,200,274452,Republican,blue,-0.33908921480178833,-0.09646707773208618,-0.2378256916999817
117,House,22142,-0.31,"MRVAN, Frank J.",M001214,100,416445,Democrat,red,-0.5234110951423645,-0.11480683088302612,-0.4645974636077881
117,House,22151,0.451,"SPARTZ, Victoria",S000929,200,417292,Republican,blue,-0.05433148145675659,-0.21072423458099365,0.060624122619628906
117,House,22171,0.416,"YAKYM, Rudy, III",Y000067,200,429528,Republican,blue,-0.5287879705429077,-0.10027903318405151,-0.46657031774520874
117,House,21902,-0.25,"AXNE, Cynthia",A000378,100,337044,Democrat,red,0.39908409118652344,0.35147714614868164,0.21814000606536865
117,House,22113,0.436,"FEENSTRA, Randy",F000446,200,417504,Republican,blue,-0.03560316562652588,-0.132940411567688,0.07705020904541016
117,House,22124,0.37,"HINSON, Ashley",H001091,200,417376,Republican,blue,0.08246016502380371,-0.11211466789245605,0.2600628137588501
117,House,22139,0.307,"MILLER-MEEKS, Mariannette",M001215,200,36277,Republican,blue,-0.05956608057022095,-0.09274876117706299,0.04769766330718994
117,House,21750,0.642,"ESTES, Ron",E000298,200,284919,Republican,blue,-0.45560115575790405,0.025196433067321777,-0.4154135584831238
117,House,21914,-0.26,"DAVIDS, Sharice",D000629,100,337051,Democrat,red,0.38875091075897217,0.3246150016784668,-0.07955300807952881
117,House,22130,0.487,"LATURNER, Jake",L000266,200,400760,Republican,blue,-0.26581698656082153,0.4735102653503418,-0.41670793294906616
117,House,22134,0.65,"MANN, Tracey",M000871,200,400759,Republican,blue,-0.3133661150932312,0.4624330997467041,-0.42425137758255005
117,House,14854,0.339,"ROGERS, Harold Dallas (Hal)",R000395,200,13549,Republican,blue,-0.04573768377304077,-0.19492554664611816,0.05210602283477783
117,House,20723,-0.378,"YARMUTH, John",Y000062,100,13678,Democrat,red,-0.23040670156478882,-0.544012188911438,-0.15337413549423218
117,House,20916,0.418,"GUTHRIE, Brett",G000558,200,30371,Republican,blue,-0.4547542333602905,-0.22135406732559204,-0.4173474907875061
117,House,21333,0.476,"BARR, Garland H. (Andy) IV",B001282,200,97129,Republican,blue,0.00015354156494140625,-0.32203179597854614,0.17955029010772705
117,House,21565,0.59,"COMER, James",C001108,200,284865,Republican,blue,-0.6329656839370728,0.026813745498657227,-0.5749197006225586
